url_path,views_total,views_unique
/inseq-team/inseq,199,68
/inseq-team/inseq/blob/main/examples/inseq_tutorial.ipynb,39,24
/inseq-team/inseq/issues,29,7
/inseq-team/inseq/tree/main/inseq,23,13
/inseq-team/inseq/tree/main/examples,16,10
/inseq-team/inseq/tree/main,16,8
/inseq-team/inseq/tree/main/inseq/attr,11,9
/inseq-team/inseq/tree/main/inseq/models,8,6
/inseq-team/inseq/pull/267/commits,6,1
/inseq-team/inseq/blob/1078e1917834f00139dd369e7eb3e48abfed795c/inseq/commands/attribute/attribute.py,5,4
