url_path,views_total,views_unique
/inseq-team/inseq,195,99
/inseq-team/inseq/blob/main/examples/inseq_tutorial.ipynb,124,27
/inseq-team/inseq/issues,75,20
/inseq-team/inseq/tree/main/examples,23,7
/inseq-team/inseq/pulls,23,2
/inseq-team/inseq/issues/230,21,8
/inseq-team/inseq/tree/main/inseq,20,6
/inseq-team/inseq/releases/tag/v0.5.0,18,11
/inseq-team/inseq/tree/main,16,11
/inseq-team/inseq/releases,14,1
