referrer,views_total,views_unique
github.com,64,12
Google,51,19
inseq.org,15,3
t.co,6,3
statics.teams.cdn.office.net,3,2
Bing,3,2
bytez.com,2,2
overleaf.com,2,1
cn.bing.com,1,1
arxiv.org,1,1
