url_path,views_total,views_unique
/inseq-team/inseq,415,223
/inseq-team/inseq/issues,52,11
/inseq-team/inseq/pull/151,42,21
/inseq-team/inseq/pulls,32,5
/inseq-team/inseq/issues/153,25,9
/inseq-team/inseq/stargazers,21,4
/inseq-team/inseq/issues/107,16,10
/inseq-team/inseq/issues/108,15,7
/inseq-team/inseq/tree/main/inseq,13,7
/inseq-team/inseq/issues/150,10,6
