referrer,views_total,views_unique
github.com,130,17
inseq.readthedocs.io,62,4
Google,58,22
t.co,10,3
skillbox.ru,7,2
hack.amazon.com,4,2
DuckDuckGo,3,1
pypi.org,2,2
com.google.android.gm,2,1
linkedin.com,1,1
