time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-29 00:00:00+00:00,42,13,36,12
2025-10-30 00:00:00+00:00,43,5,11,8
2025-10-31 00:00:00+00:00,65,11,6,6
2025-11-01 00:00:00+00:00,1,1,1,1
2025-11-02 00:00:00+00:00,2,2,2,2
2025-11-03 00:00:00+00:00,12,10,10,7
2025-11-04 00:00:00+00:00,8,4,11,8
2025-11-05 00:00:00+00:00,10,6,10,4
2025-11-06 00:00:00+00:00,5,3,11,9
2025-11-07 00:00:00+00:00,5,4,20,7
2025-11-08 00:00:00+00:00,6,5,6,4
2025-11-09 00:00:00+00:00,3,2,7,4
2025-11-10 00:00:00+00:00,10,3,22,6
2025-11-11 00:00:00+00:00,5,5,11,4
