time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-19 00:00:00+00:00,22,14,33,7
2025-09-20 00:00:00+00:00,11,11,4,4
2025-09-21 00:00:00+00:00,19,9,7,5
2025-09-22 00:00:00+00:00,8,6,17,12
2025-09-23 00:00:00+00:00,12,7,16,9
2025-09-24 00:00:00+00:00,10,7,10,9
2025-09-25 00:00:00+00:00,2,2,12,8
2025-09-26 00:00:00+00:00,13,11,3,3
2025-09-27 00:00:00+00:00,9,7,6,5
2025-09-28 00:00:00+00:00,1,1,14,9
2025-09-29 00:00:00+00:00,6,4,67,12
2025-09-30 00:00:00+00:00,9,8,24,6
2025-10-01 00:00:00+00:00,1,1,7,4
2025-10-02 00:00:00+00:00,9,6,13,8
