time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-04 00:00:00+00:00,3,3,12,8
2026-02-05 00:00:00+00:00,10,9,51,10
2026-02-06 00:00:00+00:00,1,1,42,6
2026-02-07 00:00:00+00:00,6,5,14,6
2026-02-08 00:00:00+00:00,2,2,6,3
2026-02-09 00:00:00+00:00,3,2,3,3
2026-02-10 00:00:00+00:00,22,6,26,7
2026-02-11 00:00:00+00:00,5,4,29,15
2026-02-12 00:00:00+00:00,8,5,23,13
2026-02-13 00:00:00+00:00,0,0,14,9
2026-02-14 00:00:00+00:00,2,2,3,2
2026-02-15 00:00:00+00:00,3,3,22,10
2026-02-16 00:00:00+00:00,20,11,13,7
2026-02-17 00:00:00+00:00,9,2,22,11
