time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-16 00:00:00+00:00,5.0,4.0,16,8
2025-10-17 00:00:00+00:00,10.0,8.0,37,7
2025-10-18 00:00:00+00:00,14.0,9.0,5,4
2025-10-19 00:00:00+00:00,8.0,5.0,3,3
2025-10-20 00:00:00+00:00,4.0,3.0,16,11
2025-10-21 00:00:00+00:00,6.0,6.0,6,5
2025-10-22 00:00:00+00:00,11.0,7.0,14,7
2025-10-23 00:00:00+00:00,11.0,8.0,12,8
2025-10-24 00:00:00+00:00,6.0,6.0,10,6
2025-10-25 00:00:00+00:00,3.0,3.0,11,7
2025-10-26 00:00:00+00:00,,,1,1
2025-10-27 00:00:00+00:00,1.0,1.0,17,11
2025-10-28 00:00:00+00:00,9.0,5.0,20,2
2025-10-29 00:00:00+00:00,41.0,12.0,36,12
