referrer,views_total,views_unique
Google,71,20
inseq.org,31,7
github.com,21,11
pypi.org,6,1
t.co,4,2
Bing,2,2
cn.bing.com,2,2
dongaigc.com,2,1
yandex.ru,1,1
perplexity.ai,1,1
