referrer,views_total,views_unique
Google,23,9
Bing,23,4
inseq.org,17,2
huggingface.co,8,1
chatgpt.com,4,1
DuckDuckGo,1,1
github.com,1,1
pypi.org,1,1
vuink.com,1,1
