time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-12 00:00:00+00:00,2,1,17,6
2025-08-13 00:00:00+00:00,4,4,12,4
2025-08-14 00:00:00+00:00,1,1,15,9
2025-08-15 00:00:00+00:00,12,6,10,9
2025-08-16 00:00:00+00:00,1,1,1,1
2025-08-17 00:00:00+00:00,1,1,5,4
2025-08-18 00:00:00+00:00,5,3,15,8
2025-08-19 00:00:00+00:00,8,4,4,4
2025-08-20 00:00:00+00:00,1,1,1,1
2025-08-21 00:00:00+00:00,7,5,17,6
2025-08-22 00:00:00+00:00,2,2,14,10
2025-08-23 00:00:00+00:00,4,4,6,6
2025-08-24 00:00:00+00:00,3,2,4,2
2025-08-25 00:00:00+00:00,12,5,6,3
