referrer,views_total,views_unique
Google,108,44
github.com,65,19
inseq.org,54,7
ecosia.org,6,2
t.co,5,4
colab.research.google.com,5,2
chatgpt.com,4,1
in.search.yahoo.com,3,2
cn.bing.com,2,1
yandex.ru,2,1
