time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-05 00:00:00+00:00,32,17,3,3
2026-05-06 00:00:00+00:00,24,19,9,6
2026-05-07 00:00:00+00:00,37,18,16,5
2026-05-08 00:00:00+00:00,33,22,9,8
2026-05-09 00:00:00+00:00,19,13,7,7
2026-05-10 00:00:00+00:00,2,2,4,4
2026-05-11 00:00:00+00:00,19,11,23,7
2026-05-12 00:00:00+00:00,45,21,2,2
2026-05-13 00:00:00+00:00,48,25,2,2
2026-05-14 00:00:00+00:00,15,12,5,5
2026-05-15 00:00:00+00:00,11,7,10,5
2026-05-16 00:00:00+00:00,0,0,4,4
2026-05-17 00:00:00+00:00,10,4,2,2
2026-05-18 00:00:00+00:00,2,2,4,4
