referrer,views_total,views_unique
Google,77,28
inseq.org,59,9
github.com,35,10
pypi.org,6,1
t.co,5,3
Bing,5,2
statics.teams.cdn.office.net,4,1
gsarti.com,3,1
docs.google.com,3,1
yandex.ru,2,2
