time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-08 00:00:00+00:00,6,6,18,7
2026-03-09 00:00:00+00:00,14,6,34,15
2026-03-10 00:00:00+00:00,8,7,24,12
2026-03-11 00:00:00+00:00,6,4,30,11
2026-03-12 00:00:00+00:00,14,6,26,10
2026-03-13 00:00:00+00:00,3,2,17,7
2026-03-14 00:00:00+00:00,15,7,7,6
2026-03-15 00:00:00+00:00,27,12,6,6
2026-03-16 00:00:00+00:00,11,4,24,9
2026-03-17 00:00:00+00:00,4,2,17,9
2026-03-18 00:00:00+00:00,17,15,11,9
2026-03-19 00:00:00+00:00,2,2,18,8
2026-03-20 00:00:00+00:00,15,9,14,13
2026-03-21 00:00:00+00:00,6,5,12,6
