referrer,views_total,views_unique
Google,144,33
github.com,35,16
inseq.org,26,5
DuckDuckGo,14,2
Bing,12,5
chatgpt.com,2,2
docs.google.com,2,2
gsarti.com,2,2
ivp.lightning.force.com,1,1
perplexity.ai,1,1
