time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-09 00:00:00+00:00,2,2,65,33
2024-05-10 00:00:00+00:00,3,3,70,23
2024-05-11 00:00:00+00:00,6,1,45,11
2024-05-12 00:00:00+00:00,5,4,10,8
2024-05-13 00:00:00+00:00,3,2,137,26
2024-05-14 00:00:00+00:00,10,4,143,30
2024-05-15 00:00:00+00:00,13,5,110,34
2024-05-16 00:00:00+00:00,17,7,142,46
2024-05-17 00:00:00+00:00,2,2,143,20
2024-05-18 00:00:00+00:00,1,1,11,9
2024-05-19 00:00:00+00:00,2,2,29,9
2024-05-20 00:00:00+00:00,1,1,101,25
2024-05-21 00:00:00+00:00,3,2,74,14
2024-05-22 00:00:00+00:00,5,2,331,21
