referrer,views_total,views_unique
Google,89,41
github.com,54,20
Bing,17,6
towardsdatascience.com,13,2
inseq.org,6,3
search.brave.com,3,1
t.co,2,2
cn.bing.com,2,2
gsarti.com,1,1
medium-unlocker.inulute.com,1,1
