time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-01 00:00:00+00:00,1,1,16,4
2026-07-02 00:00:00+00:00,93,10,5,4
2026-07-03 00:00:00+00:00,17,15,6,4
2026-07-04 00:00:00+00:00,17,12,10,7
2026-07-05 00:00:00+00:00,29,15,8,7
2026-07-06 00:00:00+00:00,6,4,16,9
2026-07-07 00:00:00+00:00,95,8,10,7
2026-07-08 00:00:00+00:00,13,6,6,6
2026-07-09 00:00:00+00:00,76,44,6,5
2026-07-10 00:00:00+00:00,11,7,8,7
2026-07-11 00:00:00+00:00,13,9,10,3
2026-07-12 00:00:00+00:00,13,10,12,8
2026-07-13 00:00:00+00:00,6,5,12,5
2026-07-14 00:00:00+00:00,8,8,7,6
