time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-05 00:00:00+00:00,1,1,21,6
2025-05-06 00:00:00+00:00,4,2,50,12
2025-05-07 00:00:00+00:00,2,2,59,9
2025-05-08 00:00:00+00:00,4,2,25,8
2025-05-09 00:00:00+00:00,30,5,83,13
2025-05-10 00:00:00+00:00,2,2,45,9
2025-05-11 00:00:00+00:00,4,4,16,8
2025-05-12 00:00:00+00:00,2,2,12,9
2025-05-13 00:00:00+00:00,6,4,86,11
2025-05-14 00:00:00+00:00,10,2,60,13
2025-05-15 00:00:00+00:00,17,4,110,18
2025-05-16 00:00:00+00:00,37,6,66,16
2025-05-17 00:00:00+00:00,5,4,8,3
2025-05-18 00:00:00+00:00,1,1,3,3
