time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-01 00:00:00+00:00,4.0,2.0,33,21
2025-06-02 00:00:00+00:00,70.0,13.0,38,16
2025-06-03 00:00:00+00:00,20.0,7.0,38,8
2025-06-04 00:00:00+00:00,16.0,6.0,22,6
2025-06-05 00:00:00+00:00,56.0,12.0,58,14
2025-06-06 00:00:00+00:00,24.0,4.0,22,11
2025-06-07 00:00:00+00:00,8.0,4.0,6,4
2025-06-08 00:00:00+00:00,18.0,5.0,13,4
2025-06-09 00:00:00+00:00,8.0,3.0,5,5
2025-06-10 00:00:00+00:00,6.0,3.0,42,15
2025-06-11 00:00:00+00:00,2.0,2.0,31,8
2025-06-12 00:00:00+00:00,,,14,12
2025-06-13 00:00:00+00:00,1.0,1.0,11,8
2025-06-14 00:00:00+00:00,6.0,3.0,3,2
