referrer,views_total,views_unique
github.com,713,26
Google,570,61
inseq.org,82,13
sites.google.com,20,2
pypi.org,13,2
statics.teams.cdn.office.net,11,3
colab.research.google.com,10,1
t.co,9,4
huggingface.co,7,5
gsarti.com,5,3
