time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-23 00:00:00+00:00,10,5,1,1
2026-05-24 00:00:00+00:00,6,3,2,2
2026-05-25 00:00:00+00:00,12,8,74,67
2026-05-26 00:00:00+00:00,9,8,4,4
2026-05-27 00:00:00+00:00,30,7,6,6
2026-05-28 00:00:00+00:00,38,20,21,5
2026-05-29 00:00:00+00:00,42,6,14,12
2026-05-30 00:00:00+00:00,4,4,2,2
2026-05-31 00:00:00+00:00,18,10,6,4
2026-06-01 00:00:00+00:00,2,2,3,3
2026-06-02 00:00:00+00:00,61,9,18,5
2026-06-03 00:00:00+00:00,93,43,7,7
2026-06-04 00:00:00+00:00,109,29,5,4
2026-06-05 00:00:00+00:00,224,38,16,6
