time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-05-28 00:00:00+00:00,16,8,169,26
2024-05-29 00:00:00+00:00,4,3,132,24
2024-05-30 00:00:00+00:00,3,2,120,23
2024-05-31 00:00:00+00:00,6,2,75,21
2024-06-01 00:00:00+00:00,23,5,55,8
2024-06-02 00:00:00+00:00,2,2,33,11
2024-06-03 00:00:00+00:00,69,8,104,17
2024-06-04 00:00:00+00:00,6,3,83,24
2024-06-05 00:00:00+00:00,17,5,185,23
2024-06-06 00:00:00+00:00,14,6,59,14
2024-06-07 00:00:00+00:00,6,1,63,24
2024-06-08 00:00:00+00:00,1,1,6,5
2024-06-09 00:00:00+00:00,4,2,58,11
2024-06-10 00:00:00+00:00,2,1,65,23
