time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-11 00:00:00+00:00,5.0,4.0,50,20
2023-12-12 00:00:00+00:00,,,31,13
2023-12-13 00:00:00+00:00,2.0,1.0,22,9
2023-12-14 00:00:00+00:00,10.0,3.0,102,11
2023-12-15 00:00:00+00:00,24.0,11.0,154,28
2023-12-16 00:00:00+00:00,14.0,7.0,84,11
2023-12-17 00:00:00+00:00,14.0,7.0,26,9
2023-12-18 00:00:00+00:00,9.0,3.0,50,12
2023-12-19 00:00:00+00:00,40.0,9.0,57,20
2023-12-20 00:00:00+00:00,12.0,7.0,56,10
2023-12-21 00:00:00+00:00,17.0,6.0,95,14
2023-12-22 00:00:00+00:00,15.0,4.0,85,13
2023-12-23 00:00:00+00:00,23.0,2.0,14,6
2023-12-24 00:00:00+00:00,8.0,1.0,18,9
