time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-08 00:00:00+00:00,7,7,12,9
2026-08-09 00:00:00+00:00,75,69,5,5
2026-08-10 00:00:00+00:00,136,25,4,4
2026-08-11 00:00:00+00:00,127,9,9,8
2026-08-12 00:00:00+00:00,2,2,3,3
2026-08-13 00:00:00+00:00,14,11,5,5
2026-08-14 00:00:00+00:00,9,8,10,7
2026-08-15 00:00:00+00:00,5,5,3,3
2026-08-16 00:00:00+00:00,16,9,6,6
2026-08-17 00:00:00+00:00,17,15,20,8
2026-08-18 00:00:00+00:00,31,22,15,9
2026-08-19 00:00:00+00:00,19,16,25,10
2026-08-20 00:00:00+00:00,217,6,20,4
2026-08-21 00:00:00+00:00,16,7,11,9
