time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-20 00:00:00+00:00,7,2,22,12
2026-04-21 00:00:00+00:00,10,5,15,11
2026-04-22 00:00:00+00:00,76,32,89,13
2026-04-23 00:00:00+00:00,45,32,16,7
2026-04-24 00:00:00+00:00,68,26,17,8
2026-04-25 00:00:00+00:00,111,46,43,2
2026-04-26 00:00:00+00:00,67,23,7,3
2026-04-27 00:00:00+00:00,55,23,10,8
2026-04-28 00:00:00+00:00,31,21,12,8
2026-04-29 00:00:00+00:00,37,22,13,12
2026-04-30 00:00:00+00:00,26,18,13,11
2026-05-01 00:00:00+00:00,50,22,15,7
2026-05-02 00:00:00+00:00,7,7,15,7
2026-05-03 00:00:00+00:00,32,19,11,10
