time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,91,24,27,7
2026-06-18 00:00:00+00:00,89,14,46,12
2026-06-19 00:00:00+00:00,43,12,27,14
2026-06-20 00:00:00+00:00,2,2,4,4
2026-06-21 00:00:00+00:00,35,5,7,4
2026-06-22 00:00:00+00:00,19,13,10,8
2026-06-23 00:00:00+00:00,47,10,5,5
2026-06-24 00:00:00+00:00,28,12,38,7
2026-06-25 00:00:00+00:00,78,13,27,10
2026-06-26 00:00:00+00:00,205,15,4,4
2026-06-27 00:00:00+00:00,8,6,10,2
2026-06-28 00:00:00+00:00,5,4,0,0
2026-06-29 00:00:00+00:00,33,11,7,5
2026-06-30 00:00:00+00:00,4,3,12,11
