referrer,views_total,views_unique
Google,119,40
github.com,20,9
inseq.org,14,8
Bing,10,4
DuckDuckGo,4,2
t.co,2,2
gsarti.com,2,2
docs.google.com,2,1
ivp.lightning.force.com,1,1
pypi.org,1,1
