referrer,views_total,views_unique
Google,348,97
github.com,257,21
inseq.org,64,14
gsarti.com,14,6
t.co,7,6
search.brave.com,7,1
DuckDuckGo,3,2
docs.google.com,2,2
Bing,2,2
statics.teams.cdn.office.net,2,1
