time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-06 00:00:00+00:00,20.0,7.0,68,16
2023-03-07 00:00:00+00:00,,,32,8
2023-03-08 00:00:00+00:00,1.0,1.0,28,12
2023-03-09 00:00:00+00:00,2.0,1.0,76,17
2023-03-10 00:00:00+00:00,3.0,3.0,18,12
2023-03-11 00:00:00+00:00,,,14,8
2023-03-12 00:00:00+00:00,5.0,3.0,15,6
2023-03-13 00:00:00+00:00,3.0,3.0,69,13
2023-03-14 00:00:00+00:00,14.0,4.0,42,12
2023-03-15 00:00:00+00:00,,,4,4
2023-03-16 00:00:00+00:00,4.0,2.0,35,12
2023-03-17 00:00:00+00:00,,,12,9
2023-03-18 00:00:00+00:00,2.0,1.0,35,6
2023-03-19 00:00:00+00:00,1.0,1.0,7,5
