referrer,views_total,views_unique
github.com,41,9
Google,38,14
arxiv.org,14,2
inseq.org,7,5
DuckDuckGo,5,1
rug.nl,3,1
gsarti.com,2,2
colab.research.google.com,1,1
chatgpt.com,1,1
t.co,1,1
