referrer,views_total,views_unique
Google,57,29
inseq.org,46,10
github.com,43,12
Bing,7,3
t.co,4,3
statics.teams.cdn.office.net,4,1
gsarti.com,3,1
docs.google.com,3,1
chatgpt.com,2,1
yandex.ru,1,1
