time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-21 00:00:00+00:00,9.0,3.0,108,13
2024-06-22 00:00:00+00:00,11.0,5.0,42,9
2024-06-23 00:00:00+00:00,7.0,6.0,17,6
2024-06-24 00:00:00+00:00,2.0,2.0,20,11
2024-06-25 00:00:00+00:00,9.0,5.0,39,13
2024-06-26 00:00:00+00:00,1.0,1.0,118,22
2024-06-27 00:00:00+00:00,6.0,2.0,26,13
2024-06-28 00:00:00+00:00,4.0,2.0,71,10
2024-06-29 00:00:00+00:00,,,5,5
2024-06-30 00:00:00+00:00,2.0,2.0,53,4
2024-07-01 00:00:00+00:00,3.0,2.0,68,11
2024-07-02 00:00:00+00:00,,,90,15
2024-07-03 00:00:00+00:00,22.0,5.0,166,20
2024-07-04 00:00:00+00:00,5.0,3.0,43,18
