time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-28 00:00:00+00:00,4.0,3.0,3,3
2024-12-29 00:00:00+00:00,,,2,2
2024-12-30 00:00:00+00:00,16.0,8.0,14,4
2024-12-31 00:00:00+00:00,3.0,1.0,8,6
2025-01-01 00:00:00+00:00,,,1,1
2025-01-02 00:00:00+00:00,7.0,3.0,17,10
2025-01-03 00:00:00+00:00,,,15,9
2025-01-04 00:00:00+00:00,,,14,1
2025-01-05 00:00:00+00:00,,,3,2
2025-01-06 00:00:00+00:00,1.0,1.0,18,8
2025-01-07 00:00:00+00:00,8.0,3.0,14,6
2025-01-08 00:00:00+00:00,2.0,2.0,26,12
2025-01-09 00:00:00+00:00,3.0,2.0,57,13
2025-01-10 00:00:00+00:00,6.0,5.0,75,15
