referrer,views_total,views_unique
Google,71,21
github.com,54,14
pypi.org,24,1
DuckDuckGo,10,4
statics.teams.cdn.office.net,8,2
cn.bing.com,3,2
gsarti.com,3,2
t.co,2,2
ecco.readthedocs.io,1,1
inseq.readthedocs.io,1,1
