referrer,views_total,views_unique
Google,238,56
github.com,110,21
inseq.org,67,10
ecco.readthedocs.io,49,1
huggingface.co,13,10
pypi.org,12,3
colab.research.google.com,12,2
sites.google.com,11,4
t.co,7,5
gsarti.com,5,3
