time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-25 00:00:00+00:00,7,4,44,18
2024-03-26 00:00:00+00:00,14,6,128,22
2024-03-27 00:00:00+00:00,3,2,137,15
2024-03-28 00:00:00+00:00,30,10,44,14
2024-03-29 00:00:00+00:00,2,1,35,12
2024-03-30 00:00:00+00:00,2,1,23,10
2024-03-31 00:00:00+00:00,41,10,17,8
2024-04-01 00:00:00+00:00,22,8,68,12
2024-04-02 00:00:00+00:00,12,5,40,17
2024-04-03 00:00:00+00:00,49,12,110,17
2024-04-04 00:00:00+00:00,36,8,246,27
2024-04-05 00:00:00+00:00,11,7,124,21
2024-04-06 00:00:00+00:00,5,2,15,10
2024-04-07 00:00:00+00:00,9,2,19,7
