time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-08 00:00:00+00:00,3.0,3.0,1,1
2023-09-09 00:00:00+00:00,1.0,1.0,1,1
2023-09-10 00:00:00+00:00,3.0,2.0,3,3
2023-09-11 00:00:00+00:00,,,33,8
2023-09-12 00:00:00+00:00,5.0,2.0,85,5
2023-09-13 00:00:00+00:00,9.0,4.0,31,8
2023-09-14 00:00:00+00:00,11.0,3.0,102,7
2023-09-15 00:00:00+00:00,6.0,3.0,78,7
2023-09-16 00:00:00+00:00,3.0,2.0,51,7
2023-09-17 00:00:00+00:00,16.0,6.0,84,5
2023-09-18 00:00:00+00:00,18.0,9.0,45,9
2023-09-19 00:00:00+00:00,9.0,5.0,32,11
2023-09-20 00:00:00+00:00,15.0,5.0,47,11
2023-09-21 00:00:00+00:00,8.0,2.0,11,4
