referrer,views_total,views_unique
Google,182,35
github.com,132,23
inseq.readthedocs.io,93,9
com.linkedin.android,15,2
t.co,10,6
Bing,6,2
linkedin.com,4,4
DuckDuckGo,4,1
pypi.org,3,1
skillbox.ru,2,1
