time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-25 00:00:00+00:00,37.0,10.0,123,13
2023-10-26 00:00:00+00:00,6.0,3.0,133,15
2023-10-27 00:00:00+00:00,8.0,3.0,98,12
2023-10-28 00:00:00+00:00,1.0,1.0,3,2
2023-10-29 00:00:00+00:00,3.0,3.0,70,4
2023-10-30 00:00:00+00:00,75.0,14.0,163,6
2023-10-31 00:00:00+00:00,17.0,7.0,90,16
2023-11-01 00:00:00+00:00,20.0,9.0,61,11
2023-11-02 00:00:00+00:00,92.0,38.0,187,22
2023-11-03 00:00:00+00:00,44.0,8.0,128,23
2023-11-04 00:00:00+00:00,,,19,5
2023-11-05 00:00:00+00:00,3.0,2.0,12,5
2023-11-06 00:00:00+00:00,12.0,7.0,50,11
2023-11-07 00:00:00+00:00,40.0,9.0,55,12
