url_path,views_total,views_unique
/inseq-team/inseq,278,129
/inseq-team/inseq/blob/main/examples/inseq_tutorial.ipynb,107,28
/inseq-team/inseq/tree/main/inseq,89,17
/inseq-team/inseq/issues,60,18
/inseq-team/inseq/tree/main/inseq/utils,52,5
/inseq-team/inseq/tree/main/inseq/attr,40,8
/inseq-team/inseq/tree/main/inseq/models,38,9
/inseq-team/inseq/tree/main/examples,36,13
/inseq-team/inseq/pull/250,29,4
/inseq-team/inseq/pulls,28,8
