referrer,views_total,views_unique
Google,499,39
github.com,74,14
inseq.readthedocs.io,38,7
pypi.org,17,2
tweakers.net,13,12
t.co,6,5
in.search.yahoo.com,5,1
gsarti.com,4,1
huggingface.co,1,1
catalyzex.com,1,1
