time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-22 00:00:00+00:00,3.0,3.0,6,4
2025-02-23 00:00:00+00:00,,,16,6
2025-02-24 00:00:00+00:00,5.0,2.0,30,16
2025-02-25 00:00:00+00:00,,,60,16
2025-02-26 00:00:00+00:00,7.0,4.0,148,18
2025-02-27 00:00:00+00:00,5.0,4.0,26,13
2025-02-28 00:00:00+00:00,3.0,1.0,7,6
2025-03-01 00:00:00+00:00,1.0,1.0,9,8
2025-03-02 00:00:00+00:00,,,15,8
2025-03-03 00:00:00+00:00,1.0,1.0,21,11
2025-03-04 00:00:00+00:00,,,36,12
2025-03-05 00:00:00+00:00,8.0,7.0,18,11
2025-03-06 00:00:00+00:00,3.0,3.0,17,9
2025-03-07 00:00:00+00:00,3.0,3.0,40,7
