time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-20 00:00:00+00:00,4.0,3.0,16,11
2025-10-21 00:00:00+00:00,6.0,6.0,6,5
2025-10-22 00:00:00+00:00,11.0,7.0,14,7
2025-10-23 00:00:00+00:00,11.0,8.0,12,8
2025-10-24 00:00:00+00:00,6.0,6.0,10,6
2025-10-25 00:00:00+00:00,3.0,3.0,11,7
2025-10-26 00:00:00+00:00,,,1,1
2025-10-27 00:00:00+00:00,1.0,1.0,17,11
2025-10-28 00:00:00+00:00,9.0,5.0,20,2
2025-10-29 00:00:00+00:00,42.0,13.0,36,12
2025-10-30 00:00:00+00:00,43.0,5.0,11,8
2025-10-31 00:00:00+00:00,65.0,11.0,6,6
2025-11-01 00:00:00+00:00,1.0,1.0,1,1
2025-11-02 00:00:00+00:00,2.0,2.0,2,2
