referrer,views_total,views_unique
Google,361,58
github.com,333,25
inseq.org,111,16
search.brave.com,42,1
cn.bing.com,15,6
t.co,14,10
colab.research.google.com,14,3
gsarti.com,7,7
DuckDuckGo,2,2
pypi.org,2,1
