referrer,views_total,views_unique
Google,125,25
github.com,122,15
inseq.readthedocs.io,45,6
Bing,37,4
com.linkedin.android,15,2
huggingface.co,11,2
DuckDuckGo,7,3
linkedin.com,5,5
gsarti.com,2,2
pypi.org,2,1
