referrer,views_total,views_unique
Google,251,22
github.com,61,7
gsarti.com,17,6
inseq.readthedocs.io,15,5
com.linkedin.android,4,2
huggingface.co,2,2
pypi.org,2,2
DuckDuckGo,2,1
arxiv.org,1,1
t.co,1,1
