time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-30 00:00:00+00:00,75.0,14.0,163,6
2023-10-31 00:00:00+00:00,17.0,7.0,90,16
2023-11-01 00:00:00+00:00,20.0,9.0,61,11
2023-11-02 00:00:00+00:00,92.0,38.0,187,22
2023-11-03 00:00:00+00:00,44.0,8.0,128,23
2023-11-04 00:00:00+00:00,,,19,5
2023-11-05 00:00:00+00:00,3.0,2.0,12,5
2023-11-06 00:00:00+00:00,12.0,7.0,50,11
2023-11-07 00:00:00+00:00,40.0,9.0,58,13
2023-11-08 00:00:00+00:00,16.0,4.0,113,17
2023-11-09 00:00:00+00:00,41.0,8.0,103,12
2023-11-10 00:00:00+00:00,49.0,7.0,21,10
2023-11-11 00:00:00+00:00,23.0,4.0,14,7
2023-11-12 00:00:00+00:00,9.0,2.0,32,8
