url_path,views_total,views_unique
/inseq-team/inseq,99,64
/inseq-team/inseq/blob/main/examples/inseq_tutorial.ipynb,28,10
/inseq-team/inseq/issues,13,6
/inseq-team/inseq/tree/main,12,6
/inseq-team/inseq/tree/main/inseq,10,6
/inseq-team/inseq/tree/main/examples,9,4
/inseq-team/inseq/blob/main/requirements.txt,7,4
/inseq-team/inseq/blob/1792d1ec6d28f4fe457e61f106dc7b4f49c211cf/README.md,7,2
/inseq-team/inseq/blob/main/inseq/data/aggregation_functions.py,7,1
/inseq-team/inseq/tree/main/inseq/attr,6,2
