time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-27 00:00:00+00:00,6,4,26,12
2026-01-28 00:00:00+00:00,1,1,6,6
2026-01-29 00:00:00+00:00,20,5,14,5
2026-01-30 00:00:00+00:00,1,1,16,7
2026-01-31 00:00:00+00:00,3,3,14,4
2026-02-01 00:00:00+00:00,7,1,13,5
2026-02-02 00:00:00+00:00,224,63,69,11
2026-02-03 00:00:00+00:00,22,8,9,7
2026-02-04 00:00:00+00:00,3,3,12,8
2026-02-05 00:00:00+00:00,10,9,51,10
2026-02-06 00:00:00+00:00,1,1,42,6
2026-02-07 00:00:00+00:00,6,5,14,6
2026-02-08 00:00:00+00:00,2,2,6,3
2026-02-09 00:00:00+00:00,3,2,3,3
