time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-10 00:00:00+00:00,0,0,14,7
2023-04-11 00:00:00+00:00,1,1,64,8
2023-04-12 00:00:00+00:00,1,1,28,9
2023-04-13 00:00:00+00:00,1,1,91,7
2023-04-14 00:00:00+00:00,6,2,18,10
2023-04-15 00:00:00+00:00,0,0,3,2
2023-04-16 00:00:00+00:00,4,2,13,10
2023-04-17 00:00:00+00:00,8,5,14,8
2023-04-18 00:00:00+00:00,5,3,26,5
2023-04-19 00:00:00+00:00,30,7,59,11
2023-04-20 00:00:00+00:00,35,4,47,13
2023-04-21 00:00:00+00:00,3,2,43,5
2023-04-22 00:00:00+00:00,8,4,0,0
2023-04-23 00:00:00+00:00,12,2,10,1
2023-04-24 00:00:00+00:00,37,8,19,6
2023-04-25 00:00:00+00:00,17,8,12,7
2023-04-26 00:00:00+00:00,5,3,22,14
2023-04-27 00:00:00+00:00,12,4,41,9
2023-04-28 00:00:00+00:00,1,1,30,8
2023-04-29 00:00:00+00:00,2,2,28,4
2023-04-30 00:00:00+00:00,5,2,7,5
2023-05-01 00:00:00+00:00,8,4,37,24
2023-05-02 00:00:00+00:00,3,3,88,12
2023-05-03 00:00:00+00:00,7,3,43,10
2023-05-04 00:00:00+00:00,1,1,18,6
2023-05-05 00:00:00+00:00,3,2,34,11
2023-05-06 00:00:00+00:00,0,0,1,1
2023-05-07 00:00:00+00:00,2,1,52,8
2023-05-08 00:00:00+00:00,1,1,81,6
2023-05-09 00:00:00+00:00,1,1,15,8
2023-05-10 00:00:00+00:00,0,0,10,8
2023-05-11 00:00:00+00:00,2,2,85,8
2023-05-12 00:00:00+00:00,2,1,11,7
2023-05-13 00:00:00+00:00,19,4,11,5
2023-05-14 00:00:00+00:00,87,16,101,4
2023-05-15 00:00:00+00:00,17,8,151,15
2023-05-16 00:00:00+00:00,14,3,47,13
